,ID,Product Name,Price,Color
297,WSCD23236,Raglan Blouse,4190,OFF-WHITE
298,WSCT23219,A-Line Dress,4490,PINK
299,WSCD23230,Belted Dress,5990,YELLOW
300,WSCD23236D,Belted Raglan Dress,7990,OFF-WHITE
301,WSCT23222,Belted Dress,7990,BLACK
302,WCKT23238,Drop Shoulder T-shirt,1790,BLACK
303,WCKT23252,Drop Shoulder T-shirt,1790,WHITE
304,WCKT23239,Drop Shoulder T-shirt,1790,GREEN
305,WCKT23248,Round Neck T-shirt,2190,WHITE
306,WCKB23218,Bootcut Pants,2590,GREEN
307,WCKT23247,Round Neck T-shirt,1990,GREY
308,WCKT23244,Round Neck T-shirt,1790,WHITE
309,WCKT23254,Tank Top,1190,BEIGE
310,WCKT23243,Drop Shoulder T-shirt,2190,BLUE
311,WCKT23245,Drop Shoulder T-shirt,2190,BLACK
312,WCKB23220,Shalwar Pants,2390,GREY
313,WCKB23219,Shalwar Pants,2390,BLUE
314,WCKT23246,Oversized T-Shirt,1990,WHITE
315,WCKT23249,Round Neck T-shirt,1790,YELLOW
316,WSCD23222,Tiered Dress,5990,MAROON
317,WSCB23209T,V Neck Tunic,4990,BLACK
318,WSCD23217B,Culottes Pants,3190,OFF-WHITE
319,WSCD23219,Elasticated Hem Dress,5990,OFF-WHITE
320,WSCD23217,Button Down Shirt,4490,OFF-WHITE
321,WSCT23213B,Straight Pants,2390,MULTI
322,WSCB23207,Single Tiered Belted Dress,6990,GREEN
323,WSCD23220,Elasticated Hem Dress,6990,BLACK
324,WSCD23223,Belted Jumpsuit,4990,MAROON
325,WSCD23218,Tiered Dress,5990,BLACK
326,WSCT23213,Button Down Shirt,4190,MULTI
327,WCKO22416,Oversized Sweatshirt,2690,RED
328,WCWD23220,Raglan Tunic,3490,BLACK
329,WCWS23208,Peplum,4490,RED
330,WCWT23226,Peplum,4190,BLUE
331,WCWT23227,Raglan Blouse,4690,PINK
332,WCWS23207,Button Down Shirt,3490,BLUE
333,WCWT23212,Button Down Shirt,4490,BLUE
334,WCWD23218,Drop Shoulder Button Down Shirt,3490,PINK
335,WCWT23210,Button Down Shirt,3490,GREEN
336,WCKT23127,Polo Shirt,3190,BLACK
337,WSCD23229,Batwing Button Down Tunic,4490,GREEN
338,WSCT23115,Classic Button Down Shirt,3190,PURPLE
339,WCKT23275,Basic Camisole,990,BEIGE
340,WCWD23215,Belted Shirt Dress,5990,BLUE
341,WCWD23217,Belted A Line Dress,6990,BLACK
342,WCWD23214,Belted Shirt Dress,5990,BLUE
343,WCWD23216,Tiered Dress,6990,OFF-WHITE
344,WCKD23105B,Low Tiered Dress,3690,MULTI
345,WCKB23212,Balloon Trousers,2790,WHITE
346,WCWB23208,Straight Trousers,2990,BEIGE
347,WCWB23207B,Culottes,3190,OFF-WHITE
348,WSCD23235B,Straight Trousers,4490,BLACK
349,WSCT23219B,Flared Pants,3690,PINK
350,WCWB22416,Mid-Rise Skinny Jeans,3490,BLUE
351,WCWB22415,High-Rise Skinny Jeans,3690,BLUE
352,WCWB22411,High-Rise Skinny Jeans,3690,BLUE
353,WCWB22418,High-Rise Bootcut Jeans,3990,BLACK
354,WCWB22417,Mid-Rise Skinny Jeans,3490,BLACK
355,WCWB22412,Mid-Rise Bootcut Jeans,3990,BLUE
356,WCWB22414E,Tiered Skirt,6490,WHITE
357,EST22481,Classic Kurta,6490,BROWN
358,EEO22438,Drop Shoulder,5990,MULTI
359,EET22436,Classic Kameez,4990,MULTI
360,EEO22480,Classic Kameez,5490,BLUE
361,ECT22405KN,Flared Kameez,6990,PURPLE
362,ECT22408KN,Classic Kurta,7490,BLUE
363,ECT22412KN,Classic Kameez,14990,WHITE
364,ECT22406KN,Flared Kameez,6990,BEIGE
365,ECT22410KN,Classic Kurta,7990,LILAC
366,EST22491,Classic Kameez,7490,BLACK
367,ECT22407KN,Classic Kameez,7490,BLACK
368,EST23179,Drop Shoulder,8990,PINK
369,EET23274,Contemporary Kameez,4490,RED
370,ESB23157,Straight Pants,2490,ORANGE
371,EST23186,Flared Kameez,5490,MULTI
372,EST23188,Flared Kameez,5990,MULTI
373,ESB23144B,Narrow Culottes,2490,BLUE
374,EST23172,Classic Kurta,8490,BLUE
375,EST23166,Flared Kameez,4990,MULTI
376,EEB23244,Narrow Culottes,1990,RED
377,ESB23222,Narrow Culottes,2690,GREEN
378,EST23176,Classic Kurta,6990,PURPLE
379,EST23232,Classic Kurta,6490,GREEN
380,EET23347,Kali Kurta,3490,BLUE
381,EET23349T,Kali Kurta,2990,OFF-WHITE
382,EET23348T,Classic Kameez,2990,PINK
383,EET23339,Contemporary Kameez,2690,BLUE
384,EET23336,Classic Kameez,2990,MULTI
385,EET23338,Classic Kameez,2990,RED
386,EET23346T,Classic Kurta,2990,YELLOW
387,EET231186,Kali Kurta,2190,MULTI
388,EET23345,Classic Kurta,2990,MULTI
389,EET23346,Kali Kurta,3490,YELLOW
390,EET23340,Classic Kameez,2690,PINK
391,EET23350,Classic Kameez,3490,BLUE
392,ALA230802,Fabrics 3 Piece Suit,4190,PURPLE
393,BLA230804,Fabrics 3 Piece Suit,4590,YELLOW
394,ALA230801,Fabrics 3 Piece Suit,4190,YELLOW
395,LLA230801,Fabrics 2 Piece,3190,GREEN
396,BLA230803,Fabrics 3 Piece Suit,5190,MAROON
397,ALA230828,Fabrics 3 Piece Suit,4190,BLACK
398,ALA230827,Fabrics 3 Piece Suit,4190,GREEN
399,LLA230802,Fabrics 2 Piece,3190,OFF-WHITE
